ID,contents,Required_BW,Source,Destinations
0,12,67,4,1;0
1,12,50,4,1;0
2,1,62,0,1;5
3,1,57,0,1;5
4,3,54,4,10;5
5,1,52,0,1;5
6,6,72,9,1;4
7,14,75,0,5;7
8,9,60,9,10;0
9,9,64,9,10;0
10,1,79,0,1;5
11,14,76,0,5;7
12,12,58,4,1;0
13,6,77,9,1;4
14,1,54,0,1;5
15,9,53,9,10;0
16,6,75,9,1;4
17,9,67,9,10;0
18,9,72,9,10;0
19,3,80,4,10;5
20,12,63,4,1;0
21,14,53,0,5;7
22,9,58,9,10;0
23,12,55,4,1;0
24,6,79,9,1;4
25,3,75,4,10;5
26,6,63,9,1;4
27,12,69,4,1;0
28,3,63,4,10;5
29,1,69,0,1;5
30,14,59,0,5;7
31,12,71,4,1;0
32,1,77,0,1;5
33,1,67,0,1;5
34,14,68,0,5;7
35,3,56,4,10;5
36,3,63,4,10;5
37,14,72,0,5;7
38,6,79,9,1;4
39,6,69,9,1;4
40,3,74,4,10;5
41,14,61,0,5;7
42,3,76,4,10;5
43,12,69,4,1;0
44,6,72,9,1;4
45,14,77,0,5;7
46,14,65,0,5;7
47,14,79,0,5;7
48,1,58,0,1;5
49,6,58,9,1;4
50,9,74,9,10;0
51,6,79,9,1;4
52,12,78,4,1;0
53,12,71,4,1;0
54,9,53,9,10;0
55,14,53,0,5;7
56,12,78,4,1;0
57,9,74,9,10;0
58,14,54,0,5;7
59,12,68,4,1;0
60,14,74,0,5;7
61,1,59,0,1;5
62,1,78,0,1;5
63,14,54,0,5;7
64,6,80,9,1;4
65,14,75,0,5;7
66,14,52,0,5;7
67,6,54,9,1;4
68,14,62,0,5;7
69,12,76,4,1;0
70,14,71,0,5;7
71,14,52,0,5;7
72,9,67,9,10;0
73,3,59,4,10;5
74,12,58,4,1;0
75,14,56,0,5;7
76,14,62,0,5;7
77,1,61,0,1;5
78,14,60,0,5;7
79,9,63,9,10;0
80,9,77,9,10;0
81,3,71,4,10;5
82,3,51,4,10;5
83,3,73,4,10;5
84,14,64,0,5;7
85,3,80,4,10;5
86,14,54,0,5;7
87,1,58,0,1;5
88,9,75,9,10;0
89,12,63,4,1;0
90,14,67,0,5;7
91,12,65,4,1;0
92,14,76,0,5;7
93,14,52,0,5;7
94,6,70,9,1;4
95,9,80,9,10;0
96,12,61,4,1;0
97,1,63,0,1;5
98,9,63,9,10;0
99,1,66,0,1;5
100,6,74,9,1;4
101,6,57,9,1;4
102,9,66,9,10;0
103,6,73,9,1;4
104,3,59,4,10;5
105,6,66,9,1;4
106,1,78,0,1;5
107,14,75,0,5;7
108,1,70,0,1;5
109,12,79,4,1;0
110,12,73,4,1;0
111,12,79,4,1;0
112,6,58,9,1;4
113,3,61,4,10;5
114,14,67,0,5;7
115,1,52,0,1;5
116,14,56,0,5;7
117,14,57,0,5;7
118,3,51,4,10;5
119,3,62,4,10;5
120,9,65,9,10;0
121,14,63,0,5;7
122,6,80,9,1;4
123,12,61,4,1;0
124,3,69,4,10;5
125,9,63,9,10;0
126,1,75,0,1;5
127,14,63,0,5;7
128,1,72,0,1;5
129,1,53,0,1;5
130,14,79,0,5;7
131,3,73,4,10;5
132,3,59,4,10;5
133,1,59,0,1;5
134,3,75,4,10;5
135,9,55,9,10;0
136,1,74,0,1;5
137,9,58,9,10;0
138,12,55,4,1;0
139,9,78,9,10;0
140,3,74,4,10;5
141,6,52,9,1;4
142,9,62,9,10;0
143,6,58,9,1;4
144,14,64,0,5;7
145,1,74,0,1;5
146,6,66,9,1;4
147,6,57,9,1;4
148,9,67,9,10;0
149,14,78,0,5;7
150,9,61,9,10;0
151,3,52,4,10;5
152,3,59,4,10;5
153,3,74,4,10;5
154,3,69,4,10;5
155,3,55,4,10;5
156,12,70,4,1;0
157,9,53,9,10;0
158,3,62,4,10;5
159,1,71,0,1;5
160,12,53,4,1;0
161,3,69,4,10;5
162,1,60,0,1;5
163,1,67,0,1;5
164,14,63,0,5;7
165,6,67,9,1;4
166,12,79,4,1;0
167,6,68,9,1;4
168,12,69,4,1;0
169,3,54,4,10;5
170,14,66,0,5;7
171,6,80,9,1;4
172,6,54,9,1;4
173,14,54,0,5;7
174,6,58,9,1;4
175,3,58,4,10;5
176,3,56,4,10;5
177,12,80,4,1;0
178,6,69,9,1;4
179,14,54,0,5;7
180,9,76,9,10;0
181,1,52,0,1;5
182,1,79,0,1;5
183,12,80,4,1;0
184,14,63,0,5;7
185,3,76,4,10;5
186,6,72,9,1;4
187,6,51,9,1;4
188,9,77,9,10;0
189,6,50,9,1;4
190,12,57,4,1;0
191,9,69,9,10;0
192,9,68,9,10;0
193,3,63,4,10;5
194,12,71,4,1;0
195,14,55,0,5;7
196,3,70,4,10;5
197,6,71,9,1;4
198,6,61,9,1;4
199,12,71,4,1;0
200,9,71,9,10;0
201,14,69,0,5;7
202,14,57,0,5;7
203,9,57,9,10;0
204,1,51,0,1;5
205,14,73,0,5;7
206,9,71,9,10;0
207,1,57,0,1;5
208,6,68,9,1;4
209,1,75,0,1;5
210,6,53,9,1;4
211,9,73,9,10;0
212,9,63,9,10;0
213,12,80,4,1;0
214,1,61,0,1;5
215,1,54,0,1;5
216,1,66,0,1;5
217,6,80,9,1;4
218,14,74,0,5;7
219,6,80,9,1;4
220,14,57,0,5;7
221,3,53,4,10;5
222,6,66,9,1;4
223,6,66,9,1;4
224,14,53,0,5;7
225,1,59,0,1;5
226,9,62,9,10;0
227,6,66,9,1;4
228,9,62,9,10;0
229,3,78,4,10;5
230,14,64,0,5;7
231,6,72,9,1;4
232,14,70,0,5;7
233,6,75,9,1;4
234,6,68,9,1;4
235,12,59,4,1;0
236,3,65,4,10;5
237,14,54,0,5;7
238,3,76,4,10;5
239,6,64,9,1;4
240,1,65,0,1;5
241,14,58,0,5;7
242,14,66,0,5;7
243,3,76,4,10;5
244,14,66,0,5;7
245,6,68,9,1;4
246,9,62,9,10;0
247,12,52,4,1;0
248,12,79,4,1;0
249,1,78,0,1;5
250,9,72,9,10;0
251,3,64,4,10;5
252,1,67,0,1;5
253,3,58,4,10;5
254,6,59,9,1;4
255,6,53,9,1;4
256,9,52,9,10;0
257,1,57,0,1;5
258,12,52,4,1;0
259,1,61,0,1;5
260,9,58,9,10;0
261,1,58,0,1;5
262,14,51,0,5;7
263,9,71,9,10;0
264,1,66,0,1;5
265,6,68,9,1;4
266,9,76,9,10;0
267,6,59,9,1;4
268,1,58,0,1;5
269,6,70,9,1;4
270,3,51,4,10;5
271,12,52,4,1;0
272,12,56,4,1;0
273,14,59,0,5;7
274,1,78,0,1;5
275,12,68,4,1;0
276,14,60,0,5;7
277,3,56,4,10;5
278,6,72,9,1;4
279,1,51,0,1;5
280,1,51,0,1;5
281,1,58,0,1;5
282,14,78,0,5;7
283,14,57,0,5;7
284,6,78,9,1;4
285,14,79,0,5;7
286,12,67,4,1;0
287,6,62,9,1;4
288,6,68,9,1;4
289,1,51,0,1;5
290,14,56,0,5;7
291,3,74,4,10;5
292,1,53,0,1;5
293,14,79,0,5;7
294,14,54,0,5;7
295,1,73,0,1;5
296,14,76,0,5;7
297,6,76,9,1;4
298,12,78,4,1;0
299,6,76,9,1;4
300,1,58,0,1;5
301,12,78,4,1;0
302,1,58,0,1;5
303,12,56,4,1;0
304,12,73,4,1;0
305,12,61,4,1;0
306,14,51,0,5;7
307,12,64,4,1;0
308,1,64,0,1;5
309,14,62,0,5;7
310,12,67,4,1;0
311,1,80,0,1;5
312,1,55,0,1;5
313,1,66,0,1;5
314,1,75,0,1;5
315,3,53,4,10;5
316,3,67,4,10;5
317,1,60,0,1;5
318,1,66,0,1;5
319,12,71,4,1;0
320,12,68,4,1;0
321,14,66,0,5;7
322,3,68,4,10;5
323,1,62,0,1;5
324,1,71,0,1;5
325,1,63,0,1;5
326,6,54,9,1;4
327,12,70,4,1;0
328,6,66,9,1;4
329,1,67,0,1;5
330,14,77,0,5;7
331,6,71,9,1;4
332,1,74,0,1;5
333,6,65,9,1;4
334,9,79,9,10;0
335,3,57,4,10;5
336,12,53,4,1;0
337,3,75,4,10;5
338,3,68,4,10;5
339,1,55,0,1;5
340,9,56,9,10;0
341,14,77,0,5;7
342,1,64,0,1;5
343,6,62,9,1;4
344,6,54,9,1;4
345,3,65,4,10;5
346,6,51,9,1;4
347,1,66,0,1;5
348,9,78,9,10;0
349,3,60,4,10;5
350,6,79,9,1;4
351,1,52,0,1;5
352,9,63,9,10;0
353,9,57,9,10;0
354,9,66,9,10;0
355,6,57,9,1;4
356,6,59,9,1;4
357,12,77,4,1;0
358,6,63,9,1;4
359,6,53,9,1;4
360,6,74,9,1;4
361,6,76,9,1;4
362,14,62,0,5;7
363,12,78,4,1;0
364,6,79,9,1;4
365,9,76,9,10;0
366,14,67,0,5;7
367,9,54,9,10;0
368,9,75,9,10;0
369,3,70,4,10;5
370,3,54,4,10;5
371,3,54,4,10;5
372,12,77,4,1;0
373,6,64,9,1;4
374,3,69,4,10;5
375,9,64,9,10;0
376,12,73,4,1;0
377,9,78,9,10;0
378,6,63,9,1;4
379,3,67,4,10;5
380,12,67,4,1;0
381,3,57,4,10;5
382,14,71,0,5;7
383,3,60,4,10;5
384,12,59,4,1;0
385,14,56,0,5;7
386,3,78,4,10;5
387,1,52,0,1;5
388,9,58,9,10;0
389,3,78,4,10;5
390,1,69,0,1;5
391,1,79,0,1;5
392,1,52,0,1;5
393,1,54,0,1;5
394,3,51,4,10;5
395,12,53,4,1;0
396,6,78,9,1;4
397,3,54,4,10;5
398,9,57,9,10;0
399,6,65,9,1;4
400,6,68,9,1;4
401,1,78,0,1;5
402,14,51,0,5;7
403,14,56,0,5;7
404,12,54,4,1;0
405,1,68,0,1;5
406,14,69,0,5;7
407,3,52,4,10;5
408,6,74,9,1;4
409,14,51,0,5;7
410,1,77,0,1;5
411,14,60,0,5;7
