Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
1,2,0,1153,100000,100000,999,999,999,1,99,99,999,1,2,0
1,5,0,1153,100000,100000,999,999,999,1,99,99,999,1,2,1
2,5,0,1153,100000,100000,999,999,999,1,99,99,999,1,2,2
2,6,0,1153,100000,100000,999,999,999,1,99,99,999,1,2,3
5,6,0,1153,100000,100000,999,999,999,1,99,99,999,1,2,4
5,10,0,1153,100000,100000,999,999,999,1,99,99,999,1,2,5
13,10,0,1153,100000,100000,999,999,999,1,99,99,999,1,2,6
6,10,1,1154,100000,100000,999,999,999,1,99,99,999,1,2,0
6,8,1,1155,100000,100000,999,999,999,1,99,99,999,1,2,1
8,10,1,1155,100000,100000,999,999,999,1,99,99,999,1,2,2
8,11,1,1155,100000,100000,999,999,999,1,99,99,999,1,2,3
10,11,1,1155,100000,100000,999,999,999,1,99,99,999,1,2,4
13,5,1,1155,100000,100000,999,999,999,1,99,99,999,1,2,5
