ID,contents,Required_BW,Source,Destinations
0,28,70,9999,9999
1,28,55,9999,9999
2,29,51,9999,9999
3,29,77,9999,9999
4,26,58,9999,9999
5,20,69,9999,9999
6,27,51,9999,9999
7,27,75,9999,9999
8,21,53,9999,9999
9,28,52,9999,9999
10,21,54,9999,9999
11,29,71,9999,9999
12,28,73,9999,9999
13,20,80,9999,9999
14,28,50,9999,9999
15,21,76,9999,9999
16,20,78,9999,9999
17,26,75,9999,9999
18,29,51,9999,9999
19,28,52,9999,9999
20,28,67,9999,9999
21,28,59,9999,9999
22,29,55,9999,9999
23,27,68,9999,9999
24,26,69,9999,9999
25,28,53,9999,9999
26,26,64,9999,9999
27,29,69,9999,9999
28,27,67,9999,9999
29,29,72,9999,9999
30,21,79,9999,9999
31,26,75,9999,9999
32,21,72,9999,9999
33,28,76,9999,9999
34,26,61,9999,9999
35,21,78,9999,9999
36,29,60,9999,9999
37,28,68,9999,9999
38,26,60,9999,9999
39,20,57,9999,9999
40,21,50,9999,9999
41,26,67,9999,9999
42,27,64,9999,9999
43,28,71,9999,9999
44,21,59,9999,9999
45,26,67,9999,9999
46,20,65,9999,9999
47,28,77,9999,9999
48,27,51,9999,9999
49,27,59,9999,9999
50,21,52,9999,9999
51,29,62,9999,9999
52,28,54,9999,9999
53,28,73,9999,9999
54,29,57,9999,9999
55,28,66,9999,9999
56,21,63,9999,9999
57,21,78,9999,9999
58,26,56,9999,9999
59,28,70,9999,9999
60,28,78,9999,9999
61,29,58,9999,9999
62,29,78,9999,9999
63,20,55,9999,9999
64,29,61,9999,9999
65,28,61,9999,9999
66,20,60,9999,9999
67,26,50,9999,9999
68,26,71,9999,9999
69,28,63,9999,9999
70,26,56,9999,9999
71,27,80,9999,9999
72,20,63,9999,9999
73,28,69,9999,9999
74,20,63,9999,9999
75,28,62,9999,9999
76,28,71,9999,9999
77,20,64,9999,9999
78,28,66,9999,9999
79,20,52,9999,9999
80,21,78,9999,9999
81,27,67,9999,9999
82,20,77,9999,9999
83,28,61,9999,9999
84,28,62,9999,9999
85,27,56,9999,9999
86,26,80,9999,9999
87,20,78,9999,9999
88,26,72,9999,9999
89,28,53,9999,9999
90,21,58,9999,9999
91,26,54,9999,9999
92,28,55,9999,9999
93,29,60,9999,9999
94,21,61,9999,9999
95,20,54,9999,9999
96,27,56,9999,9999
97,27,51,9999,9999
98,29,60,9999,9999
99,20,59,9999,9999
100,20,76,9999,9999
101,21,59,9999,9999
102,27,67,9999,9999
103,27,67,9999,9999
104,27,50,9999,9999
105,28,78,9999,9999
106,20,66,9999,9999
107,27,64,9999,9999
108,26,57,9999,9999
109,27,79,9999,9999
110,29,67,9999,9999
111,21,62,9999,9999
112,29,68,9999,9999
113,20,76,9999,9999
114,29,67,9999,9999
115,26,79,9999,9999
116,21,58,9999,9999
117,29,55,9999,9999
118,27,50,9999,9999
119,27,78,9999,9999
120,27,72,9999,9999
121,26,79,9999,9999
122,20,54,9999,9999
123,21,59,9999,9999
124,21,66,9999,9999
125,20,69,9999,9999
126,21,69,9999,9999
127,20,59,9999,9999
128,27,68,9999,9999
129,20,60,9999,9999
130,20,67,9999,9999
131,29,63,9999,9999
132,29,69,9999,9999
133,28,59,9999,9999
134,28,53,9999,9999
135,26,61,9999,9999
136,27,74,9999,9999
137,27,72,9999,9999
138,21,67,9999,9999
139,29,52,9999,9999
140,26,73,9999,9999
141,28,65,9999,9999
142,28,52,9999,9999
143,21,56,9999,9999
144,29,70,9999,9999
145,28,61,9999,9999
146,20,52,9999,9999
147,21,71,9999,9999
148,20,59,9999,9999
149,29,63,9999,9999
150,29,80,9999,9999
151,21,77,9999,9999
152,28,53,9999,9999
153,27,80,9999,9999
154,26,77,9999,9999
155,20,76,9999,9999
156,26,79,9999,9999
157,21,54,9999,9999
158,20,74,9999,9999
159,26,52,9999,9999
160,28,57,9999,9999
161,27,62,9999,9999
162,29,59,9999,9999
163,21,71,9999,9999
164,21,63,9999,9999
165,27,53,9999,9999
166,29,74,9999,9999
167,28,53,9999,9999
168,28,51,9999,9999
169,26,55,9999,9999
170,29,75,9999,9999
171,21,51,9999,9999
172,20,61,9999,9999
173,20,53,9999,9999
174,21,50,9999,9999
175,20,66,9999,9999
176,29,52,9999,9999
177,26,63,9999,9999
178,26,56,9999,9999
179,21,69,9999,9999
180,27,72,9999,9999
181,26,51,9999,9999
182,26,62,9999,9999
183,26,69,9999,9999
184,21,71,9999,9999
185,26,61,9999,9999
186,26,57,9999,9999
187,27,66,9999,9999
188,27,53,9999,9999
189,28,73,9999,9999
190,29,51,9999,9999
191,28,63,9999,9999
192,27,66,9999,9999
193,26,69,9999,9999
194,29,75,9999,9999
195,29,77,9999,9999
196,27,53,9999,9999
197,28,67,9999,9999
198,26,79,9999,9999
199,21,59,9999,9999
200,26,53,9999,9999
201,21,66,9999,9999
202,29,53,9999,9999
203,28,50,9999,9999
204,21,52,9999,9999
205,26,75,9999,9999
206,27,51,9999,9999
207,29,69,9999,9999
208,29,61,9999,9999
209,26,56,9999,9999
210,29,75,9999,9999
211,26,69,9999,9999
212,29,59,9999,9999
213,26,51,9999,9999
214,27,78,9999,9999
215,27,72,9999,9999
216,29,73,9999,9999
217,21,67,9999,9999
218,29,76,9999,9999
219,26,77,9999,9999
220,20,62,9999,9999
221,27,75,9999,9999
222,29,71,9999,9999
223,26,68,9999,9999
224,21,63,9999,9999
225,28,62,9999,9999
226,27,76,9999,9999
227,27,59,9999,9999
228,20,65,9999,9999
229,26,69,9999,9999
230,27,51,9999,9999
231,26,60,9999,9999
232,27,53,9999,9999
233,28,51,9999,9999
234,26,54,9999,9999
235,29,59,9999,9999
236,20,51,9999,9999
237,26,64,9999,9999
238,20,67,9999,9999
239,21,72,9999,9999
240,27,55,9999,9999
241,21,57,9999,9999
242,27,79,9999,9999
243,27,63,9999,9999
244,27,70,9999,9999
245,26,69,9999,9999
246,26,53,9999,9999
247,26,57,9999,9999
248,26,58,9999,9999
249,20,77,9999,9999
250,21,71,9999,9999
251,20,50,9999,9999
252,21,53,9999,9999
253,26,78,9999,9999
254,27,64,9999,9999
255,29,68,9999,9999
256,29,76,9999,9999
257,20,64,9999,9999
258,21,75,9999,9999
259,20,52,9999,9999
260,20,60,9999,9999
261,20,58,9999,9999
262,26,77,9999,9999
263,20,71,9999,9999
264,29,53,9999,9999
265,29,77,9999,9999
266,28,74,9999,9999
267,21,51,9999,9999
268,26,50,9999,9999
269,29,77,9999,9999
270,26,79,9999,9999
271,21,71,9999,9999
272,21,77,9999,9999
273,21,64,9999,9999
274,26,60,9999,9999
275,29,62,9999,9999
276,26,72,9999,9999
277,21,52,9999,9999
278,21,72,9999,9999
279,27,62,9999,9999
280,27,77,9999,9999
281,21,62,9999,9999
282,20,51,9999,9999
283,21,51,9999,9999
284,28,63,9999,9999
285,28,80,9999,9999
286,29,72,9999,9999
287,20,73,9999,9999
288,27,67,9999,9999
289,21,61,9999,9999
290,26,79,9999,9999
291,20,72,9999,9999
292,26,71,9999,9999
293,27,76,9999,9999
294,20,65,9999,9999
295,29,50,9999,9999
296,20,68,9999,9999
297,29,69,9999,9999
298,26,58,9999,9999
299,27,76,9999,9999
300,26,61,9999,9999
301,28,56,9999,9999
302,28,66,9999,9999
303,26,80,9999,9999
304,28,53,9999,9999
305,28,54,9999,9999
306,26,66,9999,9999
307,29,77,9999,9999
308,20,61,9999,9999
309,20,59,9999,9999
310,21,60,9999,9999
311,21,74,9999,9999
312,20,74,9999,9999
313,29,72,9999,9999
314,26,80,9999,9999
315,28,68,9999,9999
316,20,63,9999,9999
317,21,70,9999,9999
318,28,53,9999,9999
319,26,58,9999,9999
320,29,66,9999,9999
321,21,74,9999,9999
322,28,77,9999,9999
323,26,77,9999,9999
324,29,67,9999,9999
325,26,69,9999,9999
326,26,79,9999,9999
327,27,64,9999,9999
328,29,78,9999,9999
329,26,62,9999,9999
330,26,71,9999,9999
331,21,53,9999,9999
332,20,79,9999,9999
333,26,72,9999,9999
334,28,63,9999,9999
335,26,71,9999,9999
336,29,59,9999,9999
337,20,65,9999,9999
338,28,65,9999,9999
339,26,77,9999,9999
340,28,62,9999,9999
