ID,contents,Required_BW,Source,Destinations
0,21,54,9999,9999
1,29,61,9999,9999
2,21,56,9999,9999
3,21,64,9999,9999
4,26,66,9999,9999
5,26,69,9999,9999
6,27,66,9999,9999
7,28,67,9999,9999
8,28,60,9999,9999
9,28,60,9999,9999
10,28,73,9999,9999
11,29,50,9999,9999
12,21,72,9999,9999
13,26,50,9999,9999
14,20,71,9999,9999
15,26,80,9999,9999
16,27,50,9999,9999
17,27,68,9999,9999
18,28,60,9999,9999
19,21,73,9999,9999
20,26,65,9999,9999
21,26,51,9999,9999
22,20,75,9999,9999
23,21,59,9999,9999
24,28,67,9999,9999
25,20,60,9999,9999
26,21,67,9999,9999
27,27,51,9999,9999
28,26,69,9999,9999
29,29,71,9999,9999
30,27,65,9999,9999
31,28,58,9999,9999
32,29,75,9999,9999
33,26,76,9999,9999
34,20,50,9999,9999
35,29,58,9999,9999
36,29,61,9999,9999
37,21,79,9999,9999
38,27,60,9999,9999
39,26,75,9999,9999
40,20,54,9999,9999
41,26,56,9999,9999
42,27,77,9999,9999
43,26,51,9999,9999
44,20,60,9999,9999
45,28,74,9999,9999
46,26,69,9999,9999
47,27,52,9999,9999
48,21,61,9999,9999
49,26,75,9999,9999
50,20,74,9999,9999
51,27,61,9999,9999
52,20,58,9999,9999
53,26,65,9999,9999
54,20,69,9999,9999
55,26,54,9999,9999
56,28,76,9999,9999
57,28,53,9999,9999
58,28,75,9999,9999
59,28,50,9999,9999
60,27,71,9999,9999
61,27,60,9999,9999
62,26,53,9999,9999
63,29,51,9999,9999
64,20,79,9999,9999
65,21,63,9999,9999
66,20,61,9999,9999
67,26,75,9999,9999
68,20,51,9999,9999
69,21,53,9999,9999
70,28,75,9999,9999
71,20,58,9999,9999
72,29,52,9999,9999
73,21,68,9999,9999
74,21,50,9999,9999
75,27,75,9999,9999
76,26,79,9999,9999
77,26,77,9999,9999
78,26,67,9999,9999
79,29,74,9999,9999
80,21,71,9999,9999
81,20,71,9999,9999
82,27,77,9999,9999
83,27,50,9999,9999
84,26,59,9999,9999
85,21,60,9999,9999
86,29,76,9999,9999
87,21,64,9999,9999
88,21,78,9999,9999
89,29,60,9999,9999
90,26,71,9999,9999
91,29,58,9999,9999
92,29,68,9999,9999
93,20,50,9999,9999
94,26,75,9999,9999
95,27,54,9999,9999
96,28,51,9999,9999
97,20,78,9999,9999
98,20,80,9999,9999
99,21,67,9999,9999
100,26,61,9999,9999
101,20,76,9999,9999
102,26,62,9999,9999
103,27,62,9999,9999
104,20,72,9999,9999
105,20,66,9999,9999
106,28,75,9999,9999
107,27,64,9999,9999
108,29,60,9999,9999
109,26,73,9999,9999
110,27,66,9999,9999
111,21,52,9999,9999
112,20,61,9999,9999
113,26,65,9999,9999
114,20,67,9999,9999
115,20,78,9999,9999
116,29,51,9999,9999
117,28,79,9999,9999
118,29,63,9999,9999
119,20,78,9999,9999
120,28,57,9999,9999
121,26,69,9999,9999
122,21,75,9999,9999
123,29,65,9999,9999
124,21,57,9999,9999
125,27,65,9999,9999
126,20,78,9999,9999
127,21,77,9999,9999
128,20,51,9999,9999
129,20,70,9999,9999
130,27,56,9999,9999
131,20,77,9999,9999
132,27,61,9999,9999
133,21,64,9999,9999
134,26,72,9999,9999
135,27,71,9999,9999
136,27,64,9999,9999
137,26,63,9999,9999
138,28,58,9999,9999
139,29,70,9999,9999
140,28,55,9999,9999
141,29,56,9999,9999
142,28,66,9999,9999
143,29,54,9999,9999
144,27,74,9999,9999
145,27,53,9999,9999
146,26,58,9999,9999
147,21,65,9999,9999
148,26,75,9999,9999
149,20,51,9999,9999
150,20,66,9999,9999
151,21,57,9999,9999
152,29,70,9999,9999
153,26,73,9999,9999
154,21,67,9999,9999
155,27,52,9999,9999
156,26,53,9999,9999
157,27,68,9999,9999
158,29,76,9999,9999
159,27,53,9999,9999
160,27,70,9999,9999
161,28,72,9999,9999
162,27,80,9999,9999
163,26,66,9999,9999
164,27,67,9999,9999
165,20,77,9999,9999
166,28,80,9999,9999
167,26,60,9999,9999
168,28,56,9999,9999
169,20,55,9999,9999
170,29,54,9999,9999
171,21,53,9999,9999
172,20,66,9999,9999
173,29,76,9999,9999
174,28,75,9999,9999
175,26,78,9999,9999
176,28,50,9999,9999
177,27,69,9999,9999
178,21,76,9999,9999
179,26,58,9999,9999
180,26,80,9999,9999
181,27,77,9999,9999
182,29,66,9999,9999
183,26,63,9999,9999
184,29,68,9999,9999
185,27,65,9999,9999
186,29,71,9999,9999
187,21,73,9999,9999
188,27,51,9999,9999
189,26,78,9999,9999
190,27,61,9999,9999
191,27,70,9999,9999
192,28,80,9999,9999
193,26,72,9999,9999
194,26,66,9999,9999
195,20,77,9999,9999
196,29,60,9999,9999
197,29,74,9999,9999
198,20,60,9999,9999
199,29,71,9999,9999
200,28,64,9999,9999
201,28,54,9999,9999
202,26,57,9999,9999
203,26,61,9999,9999
204,27,56,9999,9999
205,26,71,9999,9999
206,21,60,9999,9999
207,27,55,9999,9999
208,27,55,9999,9999
209,27,52,9999,9999
210,26,52,9999,9999
211,27,67,9999,9999
212,28,56,9999,9999
213,21,58,9999,9999
214,26,75,9999,9999
215,20,72,9999,9999
216,21,65,9999,9999
217,26,63,9999,9999
218,27,71,9999,9999
219,20,61,9999,9999
220,29,63,9999,9999
221,26,78,9999,9999
222,28,77,9999,9999
223,26,72,9999,9999
224,27,68,9999,9999
225,21,64,9999,9999
226,21,77,9999,9999
227,28,58,9999,9999
228,26,68,9999,9999
229,28,75,9999,9999
230,26,70,9999,9999
231,27,51,9999,9999
232,21,63,9999,9999
233,29,70,9999,9999
234,21,61,9999,9999
235,20,76,9999,9999
236,28,76,9999,9999
237,21,55,9999,9999
238,27,66,9999,9999
239,21,74,9999,9999
240,21,80,9999,9999
241,20,50,9999,9999
242,20,54,9999,9999
243,28,61,9999,9999
244,26,56,9999,9999
245,29,72,9999,9999
246,20,76,9999,9999
247,21,70,9999,9999
248,26,63,9999,9999
249,28,50,9999,9999
250,20,72,9999,9999
251,26,75,9999,9999
252,27,55,9999,9999
253,21,52,9999,9999
254,29,61,9999,9999
255,29,54,9999,9999
256,26,66,9999,9999
257,29,74,9999,9999
258,21,76,9999,9999
259,29,74,9999,9999
260,20,65,9999,9999
261,29,55,9999,9999
262,29,80,9999,9999
263,26,63,9999,9999
264,28,50,9999,9999
265,26,61,9999,9999
266,26,68,9999,9999
267,21,63,9999,9999
268,29,51,9999,9999
269,27,77,9999,9999
270,21,72,9999,9999
271,29,80,9999,9999
272,29,80,9999,9999
273,27,55,9999,9999
274,27,67,9999,9999
275,28,72,9999,9999
276,29,55,9999,9999
277,20,59,9999,9999
278,21,65,9999,9999
279,28,70,9999,9999
280,29,59,9999,9999
281,20,50,9999,9999
282,26,61,9999,9999
283,21,67,9999,9999
284,20,50,9999,9999
285,21,63,9999,9999
286,27,69,9999,9999
287,28,72,9999,9999
288,26,73,9999,9999
289,21,80,9999,9999
290,27,56,9999,9999
291,20,57,9999,9999
292,26,67,9999,9999
293,27,57,9999,9999
294,27,69,9999,9999
295,29,71,9999,9999
296,28,63,9999,9999
297,20,69,9999,9999
298,21,56,9999,9999
299,29,74,9999,9999
300,26,74,9999,9999
301,29,59,9999,9999
302,29,77,9999,9999
303,26,76,9999,9999
304,29,50,9999,9999
305,20,61,9999,9999
306,20,58,9999,9999
307,28,75,9999,9999
308,21,77,9999,9999
309,21,78,9999,9999
