ID,contents,Required_BW,Source,Destinations
0,28,70,6,8
1,28,55,6,8
2,29,51,6,1
3,29,77,6,1
4,26,58,4,2
5,20,69,0,1
6,27,51,4,8
7,27,75,4,8
8,21,53,0,2
9,28,52,6,8
10,21,54,0,2
11,29,71,6,1
12,28,73,6,8
13,20,80,0,1
14,28,50,6,8
15,21,76,0,2
16,20,78,0,1
17,26,75,4,2
18,29,51,6,1
19,28,52,6,8
20,28,67,6,8
21,28,59,6,8
22,29,55,6,1
23,27,68,4,8
24,26,69,4,2
25,28,53,6,8
26,26,64,4,2
27,29,69,6,1
28,27,67,4,8
29,29,72,6,1
30,21,79,0,2
31,26,75,4,2
32,21,72,0,2
33,28,76,6,8
34,26,61,4,2
35,21,78,0,2
36,29,60,6,1
37,28,68,6,8
38,26,60,4,2
39,20,57,0,1
40,21,50,0,2
41,26,67,4,2
42,27,64,4,8
43,28,71,6,8
44,21,59,0,2
45,26,67,4,2
46,20,65,0,1
47,28,77,6,8
48,27,51,4,8
49,27,59,4,8
50,21,52,0,2
51,29,62,6,1
52,28,54,6,8
53,28,73,6,8
54,29,57,6,1
55,28,66,6,8
56,21,63,0,2
57,21,78,0,2
58,26,56,4,2
59,28,70,6,8
60,28,78,6,8
61,29,58,6,1
62,29,78,6,1
63,20,55,0,1
64,29,61,6,1
65,28,61,6,8
66,20,60,0,1
67,26,50,4,2
68,26,71,4,2
69,28,63,6,8
70,26,56,4,2
71,27,80,4,8
72,20,63,0,1
73,28,69,6,8
74,20,63,0,1
75,28,62,6,8
76,28,71,6,8
77,20,64,0,1
78,28,66,6,8
79,20,52,0,1
80,21,78,0,2
81,27,67,4,8
82,20,77,0,1
83,28,61,6,8
84,28,62,6,8
85,27,56,4,8
86,26,80,4,2
87,20,78,0,1
88,26,72,4,2
89,28,53,6,8
90,21,58,0,2
91,26,54,4,2
92,28,55,6,8
93,29,60,6,1
94,21,61,0,2
95,20,54,0,1
96,27,56,4,8
97,27,51,4,8
98,29,60,6,1
99,20,59,0,1
100,20,76,0,1
101,21,59,0,2
102,27,67,4,8
103,27,67,4,8
104,27,50,4,8
105,28,78,6,8
106,20,66,0,1
107,27,64,4,8
108,26,57,4,2
109,27,79,4,8
110,29,67,6,1
111,21,62,0,2
112,29,68,6,1
113,20,76,0,1
114,29,67,6,1
115,26,79,4,2
116,21,58,0,2
117,29,55,6,1
118,27,50,4,8
119,27,78,4,8
120,27,72,4,8
121,26,79,4,2
122,20,54,0,1
123,21,59,0,2
124,21,66,0,2
125,20,69,0,1
126,21,69,0,2
127,20,59,0,1
128,27,68,4,8
129,20,60,0,1
130,20,67,0,1
131,29,63,6,1
132,29,69,6,1
133,28,59,6,8
134,28,53,6,8
135,26,61,4,2
136,27,74,4,8
137,27,72,4,8
138,21,67,0,2
139,29,52,6,1
140,26,73,4,2
141,28,65,6,8
142,28,52,6,8
143,21,56,0,2
144,29,70,6,1
145,28,61,6,8
146,20,52,0,1
147,21,71,0,2
148,20,59,0,1
149,29,63,6,1
150,29,80,6,1
151,21,77,0,2
152,28,53,6,8
153,27,80,4,8
154,26,77,4,2
155,20,76,0,1
156,26,79,4,2
157,21,54,0,2
158,20,74,0,1
159,26,52,4,2
160,28,57,6,8
161,27,62,4,8
162,29,59,6,1
163,21,71,0,2
164,21,63,0,2
165,27,53,4,8
166,29,74,6,1
167,28,53,6,8
168,28,51,6,8
169,26,55,4,2
170,29,75,6,1
171,21,51,0,2
172,20,61,0,1
173,20,53,0,1
174,21,50,0,2
175,20,66,0,1
176,29,52,6,1
177,26,63,4,2
178,26,56,4,2
179,21,69,0,2
180,27,72,4,8
181,26,51,4,2
182,26,62,4,2
183,26,69,4,2
184,21,71,0,2
185,26,61,4,2
186,26,57,4,2
187,27,66,4,8
188,27,53,4,8
189,28,73,6,8
190,29,51,6,1
191,28,63,6,8
192,27,66,4,8
193,26,69,4,2
194,29,75,6,1
195,29,77,6,1
196,27,53,4,8
197,28,67,6,8
198,26,79,4,2
199,21,59,0,2
200,26,53,4,2
201,21,66,0,2
202,29,53,6,1
203,28,50,6,8
204,21,52,0,2
205,26,75,4,2
206,27,51,4,8
207,29,69,6,1
208,29,61,6,1
209,26,56,4,2
210,29,75,6,1
211,26,69,4,2
212,29,59,6,1
213,26,51,4,2
214,27,78,4,8
215,27,72,4,8
216,29,73,6,1
217,21,67,0,2
218,29,76,6,1
219,26,77,4,2
220,20,62,0,1
221,27,75,4,8
222,29,71,6,1
223,26,68,4,2
224,21,63,0,2
225,28,62,6,8
226,27,76,4,8
227,27,59,4,8
228,20,65,0,1
229,26,69,4,2
230,27,51,4,8
231,26,60,4,2
232,27,53,4,8
233,28,51,6,8
234,26,54,4,2
235,29,59,6,1
236,20,51,0,1
237,26,64,4,2
238,20,67,0,1
239,21,72,0,2
240,27,55,4,8
241,21,57,0,2
242,27,79,4,8
243,27,63,4,8
244,27,70,4,8
245,26,69,4,2
246,26,53,4,2
247,26,57,4,2
248,26,58,4,2
249,20,77,0,1
250,21,71,0,2
251,20,50,0,1
252,21,53,0,2
253,26,78,4,2
254,27,64,4,8
255,29,68,6,1
256,29,76,6,1
257,20,64,0,1
