Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,0
1,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,1
4,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,2
0,1,0,1363,163296,170328,450,450,450,2,4,4,1,1,3,3
1,4,0,1311,161350,176687,433,433,433,2,6,6,1,1,3,4
1,5,1,1624,60163,75203,536,536,536,1,6,6,2,2,3,0
5,4,1,1418,67042,83802,468,468,468,1,2,2,2,2,3,1
5,9,1,2667,145741,161934,881,881,881,2,54,8,1,1,3,2
10,9,1,2449,134386,167982,809,809,809,2,56,12,3,3,3,3
5,7,1,0,100000,100000,0,0,0,1,2,2,1,1,3,4
7,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,5
