Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,5,0,998,51313,64141,0,0,0,1,4,4,2,2,3,0
0,1,0,0,100000,100000,0,0,0,1,2,2,1,1,3,1
0,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,2
1,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,3
1,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,4
4,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,5
0,1,1,1015,52296,65369,0,0,0,1,2,2,2,2,3,0
0,4,1,1026,53152,66439,0,0,0,1,2,2,3,3,3,1
4,5,1,1054,55218,69022,0,0,0,1,2,2,3,3,3,2
4,9,1,2466,128090,160112,0,0,0,2,54,8,2,2,3,3
9,10,1,2420,125912,157389,0,0,0,2,56,12,3,3,3,4
5,7,1,0,100000,100000,0,0,0,1,2,2,1,1,3,5
7,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,6
