ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,1,0,69,77,77,20,1,0,100,3,1,1095,2.0,2.0,,1->0,0,1,1
2,0,5,155,172,172,20,1,0,100,3,1,2499,10.0,10.0,,0->4->6->9->8->5,0,5,5
3,4,10,163,204,204,20,1,0,100,3,3,2606,8.0,8.0,,4->6->9->8->10,0,4,4
4,9,10,141,177,0,20,0,0,0,3,2,3051,0,0,,,0,0,0
5,7,10,100,100,100,20,1,0,100,3,1,0,2.0,2.0,,7->10,0,1,1
6,5,7,256,294,294,20,2,1,100,3,1,2673,52.0,2.0,5->7,5->7,1,0,1
7,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->1,0,1,1
8,0,2,48,60,60,20,2,2,100,4,3,943,54.0,4.0,1->2,0->1->2,1,1,2
9,1,6,128,160,0,20,0,0,0,4,2,2464,0,0,,,0,0,0
10,4,8,148,164,164,20,2,3,100,4,1,2523,54.0,4.0,4->5,4->5->8,1,1,2
11,6,8,130,162,0,20,0,0,0,4,3,2507,0,0,,,0,0,0
12,0,4,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->4,0,1,1
13,1,2,100,100,100,20,2,2,100,4,1,0,52.0,2.0,1->2,1->2,1,0,1
14,1,4,100,100,100,20,1,0,100,4,1,0,4.0,4.0,,1->0->4,0,2,2
15,2,7,100,100,0,20,0,0,0,4,1,0,0,0,,,0,0,0
16,2,4,149,162,162,20,2,4,100,4,1,954,104.0,4.0,"2->5, 5->4",2->5->4,2,0,2
