ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,5,51,64,64,20,1,0,100,3,2,998,4.0,4.0,0->0,0->4->5,0,2,2,0
2,1,4,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,1->0->4,0,2,2,0
3,1,5,100,100,100,20,1,0,100,3,1,0,6.0,6.0,0->0,1->0->4->5,0,3,3,0
1,0,1,52,65,65,20,1,0,100,3,2,1015,2.0,2.0,0->0,0->1,0,1,1,1
2,0,4,53,66,66,20,1,0,100,3,3,1026,2.0,2.0,0->0,0->4,0,1,1,1
3,4,5,55,69,69,20,1,0,100,3,3,1054,2.0,2.0,0->0,4->5,0,1,1,1
4,4,9,128,160,160,20,1,0,100,3,2,2466,4.0,4.0,0->0,4->6->9,0,2,2,1
5,9,10,125,157,157,20,2,1,100,3,3,2420,60.0,10.0,7->10,9->6->4->5->7->10,1,4,5,1
6,5,7,100,100,100,20,1,0,100,3,1,0,2.0,2.0,0->0,5->7,0,1,1,1
7,7,10,100,100,100,20,2,1,100,3,1,0,52.0,2.0,7->10,7->10,1,0,1,1
8,4,6,156,173,0,20,0,0,0,4,1,2919,0.0,0.0,0->0,,0,0,0,1
9,2,1,78,97,97,20,1,0,100,4,3,1542,2.0,2.0,0->0,2->1,0,1,1,1
10,2,0,54,60,60,20,1,0,100,4,1,1237,4.0,4.0,0->0,2->1->0,0,2,2,1
11,4,2,79,88,88,20,1,0,100,4,1,929,4.0,4.0,0->0,4->5->2,0,2,2,1
12,6,7,156,195,0,20,0,0,0,4,2,2767,0.0,0.0,0->0,,0,0,0,1
13,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,0->1,0,1,1,1
14,0,4,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,0->4,0,1,1,1
15,1,2,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,1->2,0,1,1,1
16,2,4,100,100,100,20,1,0,100,4,1,0,6.0,6.0,0->0,2->1->0->4,0,3,3,1
17,2,7,100,100,100,20,1,0,100,4,1,0,4.0,4.0,0->0,2->5->7,0,2,2,1
18,1,4,173,180,180,20,2,2,100,4,1,1052,54.0,4.0,3->4,1->3->4,1,1,2,1
