Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,1,0,0,100000,100000,0,0,0,1,2,2,1,1,3,0
4,9,0,0,100000,100000,0,0,0,1,2,2,1,1,3,1
4,5,0,944,155395,161550,0,0,0,2,4,4,1,1,3,2
0,4,1,2442,143135,159038,0,0,0,2,2,4,1,1,3,0
0,5,1,3514,183301,229126,0,0,0,3,4,12,3,3,3,1
0,9,1,1017,52811,66013,0,0,0,1,6,6,3,3,3,2
4,9,1,939,54994,61104,0,0,0,1,4,4,1,1,3,3
5,7,1,0,100000,100000,0,0,0,1,2,2,1,1,3,4
5,9,1,0,100000,100000,0,0,0,1,2,2,1,1,3,5
7,9,1,0,100000,100000,0,0,0,1,2,2,1,1,3,6
7,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,7
9,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,8
