ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,1,148,161,161,20,1,0,100,3,1,935,2,2,0->0,0->1,0,1,1,0
2,0,1,154,192,192,20,1,0,100,4,3,2368,2,2,0->0,0->1,0,1,1,0
3,7,8,95,95,95,20,1,0,100,4,1,0,2,2,0->0,7->8,0,1,1,0
4,7,10,95,95,95,20,1,0,100,4,1,0,4,4,0->0,7->8->10,0,2,2,0
5,8,10,95,95,95,20,1,0,100,4,1,0,2,2,0->0,8->10,0,1,1,0
1,0,4,123,154,139,20,2,1,100,3,2,2382,56,6,1->3,0->1->3->4,1,2,3,1
2,0,5,133,166,166,20,2,3,100,3,2,2572,106,6,"2->5, 1->2",0->1->2->5,2,1,3,1
3,4,9,134,168,135,20,1,0,100,3,3,2592,4,4,0->0,4->6->9,0,2,2,1
4,4,10,146,162,162,20,2,4,100,3,1,2498,56,6,4->5,4->5->8->10,1,2,3,1
5,5,7,100,100,100,20,1,0,100,3,1,0,4,4,0->0,5->8->7,0,2,2,1
6,5,9,100,100,100,20,2,4,100,3,1,0,56,6,5->4,5->4->6->9,1,2,3,1
7,7,9,100,100,100,20,1,0,100,3,1,0,4,4,0->0,7->8->9,0,2,2,1
8,7,10,100,100,100,20,1,0,100,3,1,0,2,2,0->0,7->10,0,1,1,1
9,9,10,100,100,100,20,1,0,100,3,1,0,4,4,0->0,9->8->10,0,2,2,1
10,2,4,144,180,166,20,2,3,100,4,2,2649,106,6,"1->3, 2->1",2->1->3->4,2,1,3,1
11,2,6,136,170,137,20,2,4,100,4,3,2868,106,6,"5->4, 2->5",2->5->4->6,2,1,3,1
12,7,6,136,170,165,20,1,0,100,4,3,2536,6,6,0->0,7->8->9->6,0,3,3,1
13,0,1,95,95,95,20,1,0,100,4,1,0,2,2,0->0,0->1,0,1,1,1
14,1,4,95,95,95,20,2,1,100,4,1,0,54,4,1->3,1->3->4,1,1,2,1
15,0,4,240,276,276,20,1,0,100,4,1,2923,2,2,0->0,0->4,0,1,1,1
