IRS,NIRS_1,NIRS_2,NIRS_3,NIRS_4,NIRS_5,Reject,Regular_IP,Regular_NIRS_1,Regular_NIRS_2,Regular_NIRS_3,Regular_NIRS_4,Regular_NIRS_5,Regular_Total_payment,Towards_Carrier_0,Towards_Carrier_1,Towards_Carrier_2,Total_Advertised_payment
935,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2
0,2382,0,0,0,0,0,0,56,0,0,0,0,56,0,56,0,56
0,0,0,2572,0,0,0,0,0,0,106,0,0,106,0,106,0,106
2592,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4
0,0,0,0,2498,0,0,0,0,0,0,56,0,56,0,56,0,56
0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4
0,0,0,0,0,0,0,0,0,0,0,56,0,56,0,56,0,56
0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4
0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2
0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4
