ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,1,100,100,100,20,1,0,100,3,1,0,2.0,2.0,0->0,0->1,0,1,1,0
1,1,0,52,65,65,20,1,0,100,3,2,1309,2.0,2.0,0->0,1->0,0,1,1,1
2,0,5,139,174,174,20,1,0,100,3,3,2764,10.0,10.0,0->0,0->4->6->9->8->5,0,5,5,1
3,1,4,133,166,166,20,1,0,100,3,3,3130,4.0,4.0,0->0,1->0->4,0,2,2,1
4,5,10,126,158,158,20,1,0,100,3,2,2541,4.0,4.0,0->0,5->8->10,0,2,2,1
5,5,7,100,100,100,20,2,1,100,3,1,0,52.0,2.0,5->7,5->7,1,0,1,1
6,7,9,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,7->8->9,0,2,2,1
7,7,10,100,100,100,20,1,0,100,3,1,0,2.0,2.0,0->0,7->10,0,1,1,1
8,9,10,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,9->8->10,0,2,2,1
9,5,9,249,265,0,20,0,0,0,3,1,2658,0.0,0.0,0->0,,0,0,0,1
